iter	Passed	Remaining
456	830	986
457	831	983
458	832	980
459	833	978
460	834	975
461	835	973
462	836	970
463	838	968
464	839	966
465	841	964
466	842	961
467	844	959
468	845	956
469	846	954
470	847	951
471	848	949
472	849	946
473	851	944
474	852	941
475	853	939
476	854	937
477	856	935
478	859	935
479	860	932
480	862	930
481	863	927
482	864	925
483	865	923
484	867	921
485	869	919
486	871	917
487	872	915
488	874	914
489	875	911
490	877	909
491	878	907
492	879	904
493	880	902
494	882	899
495	886	901
496	888	899
497	889	896
498	890	894
499	891	891
500	893	889
501	894	887
502	895	884
503	896	882
504	899	881
505	902	881
506	904	879
507	905	876
508	906	874
509	907	872
510	908	869
511	910	867
512	911	865
513	918	868
514	919	866
515	921	864
516	925	864
517	926	862
518	928	860
519	929	858
520	931	856
521	933	854
522	934	852
523	935	849
524	936	847
525	938	845
526	939	843
527	940	841
528	942	839
529	946	839
530	947	837
531	949	834
532	950	832
533	951	830
534	952	827
535	953	825
536	954	823
537	957	822
538	961	822
539	963	820
540	964	818
541	965	815
542	966	813
543	968	811
544	969	809
545	971	808
546	976	808
547	977	806
548	978	804
549	979	801
550	981	799
551	982	797
552	986	797
553	993	799
554	996	798
555	998	797
556	999	795
557	1000	792
558	1002	790
559	1004	789
560	1007	788
561	1009	786
562	1011	784
563	1012	782
564	1013	780
565	1015	778
566	1016	776
567	1017	773
568	1018	771
569	1023	771
570	1024	769
571	1026	768
572	1027	765
573	1029	763
574	1030	761
575	1031	759
576	1032	757
577	1033	754
578	1037	754
579	1039	752
580	1046	754
581	1048	752
582	1050	751
583	1052	749
584	1054	747
585	1055	745
586	1057	743
587	1059	742
588	1060	740
589	1061	737
590	1063	735
591	1066	734
592	1071	735
593	1072	733
594	1075	731
595	1077	730
596	1078	728
597	1079	725
598	1081	724
599	1083	722
600	1105	733
601	1106	731
602	1109	730
603	1110	727
604	1112	726
605	1114	724
606	1115	722
607	1116	720
608	1119	718
609	1120	716
610	1121	714
611	1122	711
612	1124	709
613	1125	707
614	1128	706
615	1130	704
616	1133	703
617	1134	701
618	1135	698
619	1137	696
620	1148	701
621	1149	698
622	1151	696
623	1152	694
624	1153	691
625	1167	697
626	1168	695
627	1170	693
628	1173	692
629	1176	690
630	1178	689
631	1180	687
632	1181	685
633	1182	682
634	1184	680
635	1185	678
636	1186	676
637	1188	674
638	1189	672
639	1191	669
640	1192	668
641	1194	666
642	1195	663
643	1197	661
644	1199	659
645	1217	667
646	1219	665
647	1221	663
648	1223	661
649	1226	660
650	1228	658
651	1230	656
652	1233	655
653	1235	653
654	1237	651
655	1240	650
656	1241	648
657	1242	645
658	1243	643
659	1245	641
660	1246	639
661	1247	636
662	1248	634
663	1251	633
664	1253	631
665	1275	639
666	1277	637
667	1279	635
668	1280	633
669	1284	632
670	1286	630
671	1288	628
672	1291	627
673	1292	625
674	1293	622
675	1301	623
676	1305	622
677	1306	620
678	1310	619
679	1312	617
680	1314	615
681	1316	613
682	1317	611
683	1319	609
684	1320	607
685	1339	613
686	1343	611
687	1351	612
688	1354	611
689	1357	610
690	1359	607
691	1361	606
692	1366	605
693	1368	603
694	1369	601
695	1370	598
696	1372	596
697	1373	594
698	1376	592
699	1381	592
700	1382	589
701	1383	587
702	1385	585
703	1430	601
704	1434	600
705	1435	597
706	1436	595
707	1437	592
708	1440	591
709	1442	589
710	1443	586
711	1444	584
712	1446	582
713	1447	579
714	1448	577
715	1450	575
716	1452	573
717	1453	571
718	1457	569
719	1458	567
720	1459	564
721	1460	562
722	1463	560
723	1465	558
724	1466	556
725	1487	561
726	1489	559
727	1490	556
728	1491	554
729	1493	552
730	1495	550
731	1496	548
732	1498	545
733	1501	544
734	1503	542
735	1505	539
736	1506	537
737	1507	535
738	1509	533
739	1510	530
740	1511	528
741	1512	526
742	1513	523
743	1516	521
744	1518	519
745	1536	523
746	1538	521
747	1540	518
748	1541	516
749	1542	514
750	1544	511
751	1545	509
752	1547	507
753	1554	507
754	1556	504
755	1557	502
756	1558	500
757	1559	498
758	1561	495
759	1562	493
760	1563	491
761	1565	489
762	1567	487
763	1569	484
764	1570	482
765	1572	480
766	1573	478
767	1575	475
768	1576	473
769	1580	471
770	1582	469
771	1585	468
772	1586	465
773	1587	463
774	1588	461
775	1590	459
776	1591	456
777	1592	454
778	1594	452
779	1596	450
780	1597	447
781	1598	445
782	1599	443
783	1600	441
784	1602	438
785	1603	436
786	1604	434
787	1605	431
788	1607	429
789	1608	427
790	1609	425
791	1612	423
792	1615	421
793	1617	419
794	1618	417
795	1620	415
796	1622	413
797	1623	411
798	1625	408
799	1626	406
800	1628	404
801	1633	403
802	1635	401
803	1636	398
804	1637	396
805	1638	394
806	1640	392
807	1641	389
808	1642	387
809	1643	385
810	1649	384
811	1655	383
812	1657	381
813	1658	379
814	1660	376
815	1663	375
816	1665	373
817	1668	371
818	1669	368
819	1670	366
820	1672	364
821	1673	362
822	1674	360
823	1677	358
824	1681	356
825	1682	354
826	1683	352
827	1684	349
828	1685	347
829	1696	347
830	1698	345
831	1700	343
832	1701	341
833	1703	339
834	1709	337
835	1711	335
836	1714	333
837	1715	331
838	1717	329
839	1718	327
840	1720	325
841	1721	323
842	1726	321
843	1727	319
844	1730	317
845	1731	315
846	1732	312
847	1733	310
848	1747	310
849	1748	308
850	1762	308
851	1763	306
852	1765	304
853	1772	303
854	1774	300
855	1776	298
856	1779	296
857	1780	294
858	1781	292
859	1782	290
860	1783	287
861	1789	286
862	1790	284
863	1791	282
864	1792	279
865	1794	277
866	1795	275
867	1796	273
868	1797	270
869	1798	268
870	1811	268
871	1812	266
872	1813	263
873	1814	261
874	1816	259
875	1820	257
876	1822	255
877	1823	253
878	1824	251
879	1825	248
880	1826	246
881	1828	244
882	1830	242
883	1831	240
884	1833	238
885	1836	236
886	1838	234
887	1839	232
888	1841	229
889	1842	227
890	1843	225
891	1844	223
892	1846	221
893	1847	219
894	1849	217
895	1851	214
896	1852	212
897	1853	210
898	1854	208
899	1854	206
900	1855	203
901	1856	201
902	1857	199
903	1858	197
904	1859	195
905	1860	193
906	1861	190
907	1862	188
908	1864	186
909	1865	184
910	1866	182
911	1867	180
912	1868	178
913	1869	175
914	1869	173
915	1870	171
916	1871	169
917	1872	167
918	1873	165
919	1874	162
920	1875	160
921	1876	158
922	1876	156
923	1878	154
924	1880	152
925	1881	150
926	1882	148
927	1883	146
928	1883	143
929	1884	141
930	1885	139
931	1886	137
932	1887	135
933	1888	133
934	1889	131
935	1890	129
936	1891	127
937	1892	125
938	1894	123
939	1895	120
940	1896	118
941	1897	116
942	1897	114
943	1898	112
944	1899	110
945	1900	108
946	1901	106
947	1902	104
948	1902	102
949	1904	100
950	1905	98
951	1906	96
952	1907	94
953	1907	91
954	1910	90
955	1911	87
956	1912	85
957	1914	83
958	1915	81
959	1916	79
960	1917	77
961	1918	75
962	1919	73
963	1920	71
964	1922	69
965	1923	67
966	1925	65
967	1926	63
968	1927	61
969	1928	59
970	1928	57
971	1929	55
972	1930	53
973	1931	51
974	1932	49
975	1933	47
976	1934	45
977	1935	43
978	1935	41
979	1936	39
980	1937	37
981	1939	35
982	1940	33
983	1941	31
984	1942	29
985	1943	27
986	1943	25
987	1944	23
988	1945	21
989	1946	19
990	1947	17
991	1948	15
992	1949	13
993	1950	11
994	1951	9
995	1954	7
996	1955	5
997	1956	3
998	1957	1
999	1958	0
